id,legal_name,doing_business_as_name,address,state,city,zip_code,ward,precinct,ward_precinct,police_district,latitude,longitude,location,location_precise,business_activity_array,business_activity_id_array,standardized_activities_array,osm_vicinity,osm_matched,osm_name,osm_activities,google_matched,name,google_address,website,phone_number,business_status
2543215-20220416,"ORACLE AMERICA, INC.","Oracle America, Inc.",130 E RANDOLPH ST  3200,IL,CHICAGO,60601,42.0,,42-,,41.884588372,-87.623272561,"(41.8845884, -87.6232726)","(41.884588371969095, -87.62327256105529)","('Miscellaneous Commercial Services',)","('708',)","('miscellaneous_commercial',)",False,False,False,False,False,,,,,
2404980-20220416,BANG BANG PIE AND COFFEE SHOW INC.,BANG BANG,2058 N CALIFORNIA AVE,IL,CHICAGO,60647,1.0,36.0,1-36,14.0,41.91915178,-87.697395063,"(41.9191518, -87.6973951)","(41.91915177953893, -87.69739506305045)","('Sale of Food Prepared Onsite Without Dining Area', 'Administrative Commercial Office')","('602, 78',)","('meal_takeaway', 'administrative_office')",2761695654,True,Bang Bang Pie Shop,['cafe'],True,Bang Bang Pie & Biscuits,2051 N California Ave,http://www.bangbangpie.com/,+1 773-276-8888,OPERATIONAL
2216465-20211116,"MIKE'S ANODIZING COMPANY, INC","MIKE'S ANODIZING COMPANY, INC",859 N SPAULDING AVE  1,IL,CHICAGO,60651,27.0,15.0,27-15,11.0,41.897217514,-87.70875666,"(41.8972175, -87.7087567)","(41.89721751400364, -87.70875665991522)","('Miscellaneous Commercial Services', 'Storage or Use of Hazardous Materials')","('816, 70',)","('miscellaneous_commercial', 'hazardous_materials')",False,False,False,False,True,Mike's Anodizing Company,859 N Spaulding Ave,http://www.mikesanodizingcompany.com/,+1 773-722-5778,OPERATIONAL
2320852-20201216,"SNS Realty Group, LLC","SNS Realty Group, LLC",2042 W BELMONT AVE 1,IL,CHICAGO,60618,32.0,42.0,32-42,19.0,41.9396614,-87.680059352,"(41.9396614, -87.6800594)","(41.9396613995458, -87.680059351993)","('Acquisition and Improvement of Land/Residential Buildings Residential Real Estate Developer',)","('601',)","('',)",False,False,False,False,True,SNS Realty Group,2042 W Belmont Ave,http://sshomes.com/,+1 773-665-1900,OPERATIONAL
2501127-20201216,"UPTOWN DELI AND COFFEE, INC.",FINEST FOOD & SUBS,4759 N SHERIDAN RD 1,IL,CHICAGO,60640,46.0,21.0,46-21,19.0,41.969046675,-87.654674059,"(41.9690467, -87.6546741)","(41.969046674717234, -87.65467405897606)","('Deli, Butcher or Bakery', 'Retail Sales of Perishable Foods', 'Retail Sales of Tobacco Products')","('640, 776, 77',)","('bakery', 'food', 'tobacco')",False,False,False,False,True,Uptown Deli,4759 N Sheridan Rd,,+1 773-944-1150,OPERATIONAL
2359996-20220416,"COMPASS GROUP USA, INC.",R29 AT THE FRANKLIN,227 W MONROE ST 29,IL,CHICAGO,60606,42.0,49.0,42-49,1.0,41.88053925,-87.634592464,"(41.8805392, -87.6345925)","(41.88053924995021, -87.63459246351388)","('Preparation of Food and Dining on Premise With Seating', 'Consumption of Liquor on Premises', 'Public Place of Amusement, Provides Entertainment, Room Rentals and Charges a Fee')","('746, 638, 73',)","('restaurant', 'bar', 'amusement')",False,False,False,False,True,The Franklin,222 W Adams St,http://www.tishmanspeyer.com/properties/the-franklin,+1 312-981-6000,OPERATIONAL
2555799-20211016,Mariana Glusman,West Walker Publishing House,4043 N AVERS AVE,IL,CHICAGO,60618,45.0,,45-,,41.954985867,-87.723834098,"(41.9549859, -87.7238341)","(41.95498586668757, -87.72383409785522)","('Online Sales Home Based Business',)","('722',)","('',)",False,False,False,False,False,,,,,
2523720-20210716,"MONTCLARE SENIOR RESIDENCES SLF OF LAWNDALE, LLC",THE MONTCLARE SUPPORTIVE LIVING COMMUNITY,4339 W 18TH PL 1-5,IL,CHICAGO,60623,24.0,1.0,24-1,10.0,41.855771531,-87.7338879,"(41.8557715, -87.7338879)","(41.85577153130276, -87.7338878999525)","('Assisted Living Establishment',)","('236',)","('assisted_living',)",False,False,False,False,True,Montclare Supportive Living Community,4339 W 18th Pl,http://www.montclare-slf.com/,+1 773-277-0288,OPERATIONAL
1442277-20220216,"LUMA, LLC",Lou Malnati's Pizzeria,3859 W OGDEN AVE,IL,CHICAGO,60623,24.0,26.0,24-26,10.0,41.851865557,-87.722024387,"(41.8518656, -87.7220244)","(41.85186555681628, -87.7220243874229)","('Retail Sales of Perishable Foods',)","('775',)","('food',)",False,False,False,False,True,Lawndale - Lou Malnati's Pizzeria,3859 W Ogden Ave,https://www.loumalnatis.com/chicago-lawndale,+1 773-762-0800,OPERATIONAL
2374386-20210216,"CHICAGO SEAFOOD, INC.",WHALE FISH & CHICKEN,3600 W CHICAGO AVE 1ST,IL,CHICAGO,60651,27.0,22.0,27-22,11.0,41.89557001,-87.716377069,"(41.89557, -87.7163771)","(41.89557001005748, -87.71637706926153)","('Operation of a Shared Kitchen - Secondary to Primary Business Supplemental', 'Sale of Food Prepared Onsite Without Dining Area')","('803, 78',)","('meal_takeaway',)",False,False,False,False,True,Whale Fish & Chicken,3600 W Chicago Ave,,+1 773-278-5555,OPERATIONAL
2507011-20210416,"BATH HOUSE CULTURAL CENTER, LLC","THE MITZ, A MEETING EXPERIENCE",1019 N WOLCOTT AVE,IL,CHICAGO,60622,2.0,4.0,2-4,12.0,41.900192089,-87.674581183,"(41.9001921, -87.6745812)","(41.90019208946944, -87.67458118309848)","('Miscellaneous Commercial Services',)","('708',)","('miscellaneous_commercial',)",False,False,False,False,True,The Mitz,1019 N Wolcott Ave,https://www.themitz.com/,,OPERATIONAL
2348439-20211216,"R & M GROCERY, INC.","R & M GROCERY, INC.",1948 N PULASKI RD,IL,CHICAGO,60639,35.0,20.0,35-20,25.0,41.916790077,-87.726691594,"(41.9167901, -87.7266916)","(41.916790076742615, -87.72669159447179)","('Retail Sales of Tobacco Products', 'Retail Sales of Perishable Foods', 'Retail Sales of General Merchandise and Non-Perishable Food')","('776, 775, 76',)","('tobacco', 'food', 'store')",False,False,False,False,True,R&M Grocery,1948 N Pulaski Rd,,+1 773-252-4990,OPERATIONAL
2350109-20220516,WICHITA PACKING CO.,WICHITA PACKING CO.,340 N OAKLEY BLVD 1ST,IL,CHICAGO,60612,27.0,27.0,27-27,12.0,41.88787468,-87.684306855,"(41.8878747, -87.6843069)","(41.88787468019217, -87.68430685523646)","('Wholesale Food Sales', 'Food Manufacturing')","('864, 66',)","('food', 'food')",False,False,False,False,True,Wichita Packing Co Inc,340 N Oakley Blvd,http://wichitapacking.com/,+1 312-421-0606,OPERATIONAL
1044305-20220616,"U Go Boy, Inc.",Kit Kat Lounge and Restaurant,3700 N HALSTED ST 1ST,IL,CHICAGO,60613,46.0,24.0,46-24,19.0,41.949147337,-87.649689839,"(41.9491473, -87.6496898)","(41.94914733742978, -87.64968983874849)","('Retail Sales of Perishable Foods', 'Consumption of Liquor on Premises')","('638, 77',)","('food', 'bar')",903249436,True,Kit Kat Club,['restaurant'],True,Kit Kat Lounge,3700 N Halsted St,http://www.kitkatchicago.com/?y_source=1_MTQ3MjMwNjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,+1 773-525-1111,OPERATIONAL
2846286-20220513,"MESIROW FINANCIAL, INC",Mesirow,353 N CLARK ST 9TH,IL,CHICAGO,60654,42.0,,42-,,41.888961957,-87.630906772,"(41.888962, -87.6309068)","(41.88896195675864, -87.63090677238614)","('Business and Management Consulting',)","('619',)","('business_consulting',)",False,False,False,False,True,Mesirow,353 N Clark St,http://www.mesirow.com/,+1 312-595-6000,OPERATIONAL
2232180-20220216,EDC DEVELOPMENT L.L.C.,THE ENTERPRISE COMPANIES,710 W OAKDALE AVE 1ST,IL,CHICAGO,60657,44.0,6.0,44-6,19.0,41.935710404,-87.647708578,"(41.9357104, -87.6477086)","(41.93571040421358, -87.64770857759068)","('Residential Construction / Minor Home Repair Services', 'Administrative Commercial Office')","('602, 75',)","('administrative_office',)",False,False,False,False,True,Enterprise Development Co,710 W Oakdale Ave,http://www.loftsloftslofts.com/,+1 773-348-6900,OPERATIONAL
8919-20201216,CHUCK'S & ED'S TAVERN INC,CHUCK'S & ED'S TAVERN,3556 W BELMONT AVE 1ST,IL,CHICAGO,60618,35.0,999.0,35-999,17.0,41.939327763,-87.717261963,"(41.9393278, -87.717262)","(41.93932776333894, -87.71726196252287)","('Tavern - Consumption of Liquor on Premise', 'Sale of Liquor Until 4am, Monday - Saturday and 5am on Sunday')","('785, 82',)","('bar', 'liquor_store')",3551946808,True,Chuck's & Ed's Tavern,['bar'],False,,,,,
1909286-20220116,"ALEXANDER JR. BUILDING SERVICES, INC.",ALEXANDER JR. BUILDING SERVICES,643 N KEDZIE AVE 1ST,IL,CHICAGO,60612,27.0,49.0,27-49,12.0,41.893181562,-87.706337473,"(41.8931816, -87.7063375)","(41.893181562239235, -87.70633747273557)","('Home Repair Services', 'Storage or Use of Hazardous Materials')","('816, 67',)","('home', 'hazardous_materials')",False,False,False,False,True,Alexander Jr. Building Services Inc.,643 N Kedzie Ave,,+1 773-491-9535,OPERATIONAL
2492621-20210616,MARTIN ZARATE,SUPER PET STORE,5220 S PULASKI RD 1ST C147-149,IL,CHICAGO,60632,23.0,6.0,23-6,8.0,41.79799187,-87.723443741,"(41.7979919, -87.7234437)","(41.797991869962225, -87.723443740796)","('Retail Sales of General Merchandise', 'Operate a Pet Shop / Sales of Animals')","('728, 90',)","('store', 'animal_care')",False,False,False,False,True,Super Pet Store,5220 S Pulaski Rd,,+1 773-767-7630,OPERATIONAL
2216281-20220316,"GREENWAY RESOURCE RECOVERY, LLC","GREENWAY RESOURCE RECOVERY, LLC",2100 - 2118 S KILBOURN AVE 1 1,IL,CHICAGO,60623,24.0,58.0,24-58,10.0,41.853126958,-87.737149682,"(41.853127, -87.7371497)","(41.85312695788415, -87.73714968152437)","('Storage or Use of Hazardous Materials',)","('816',)","('hazardous_materials',)",False,False,False,False,True,Greenway Recycling Services LLC,2100 S Kilbourn Ave,http://www.greenwayrecycles.com/,+1 773-522-0025,OPERATIONAL
2216784-20211216,"V & V SUPREMO FOODS, INC.",V & V SUPREMO FOODS INC,1934 W 21ST ST,IL,CHICAGO,60608,25.0,30.0,25-30,12.0,41.854136617,-87.674861865,"(41.8541366, -87.6748619)","(41.85413661690831, -87.67486186472667)","('Wholesale Food Sales', 'Storage or Use of Hazardous Materials')","('816, 86',)","('food', 'hazardous_materials')",False,False,False,False,False,,,,,
2867441-20220817,"MSN HAIR DESIGN, INC.",CASABLANCA HAIR SALON,4549 N KEDZIE AVE 1ST,IL,CHICAGO,60625,33.0,20.0,33-20,17.0,41.964448136,-87.708199909,"(41.9644481, -87.7081999)","(41.964448136312846, -87.70819990868543)","('Hair Services',)","('894',)","('hair_care',)",False,False,False,False,True,Casa Blanca Hair Salon,4549 N Kedzie Ave,https://www.facebook.com/casablancahairsalon,+1 773-463-0931,OPERATIONAL
1192905-20220316,"JEWEL FOOD STORES, INC.",JEWEL FOOD STORE #3344,1220 S ASHLAND AVE,IL,CHICAGO,60608,28.0,5.0,28-5,12.0,41.866254176,-87.66652414,"(41.8662542, -87.6665241)","(41.86625417614275, -87.66652414013105)","('Retail Sales of Perishable Foods',)","('775',)","('food',)",False,False,False,False,True,Jewel-Osco,1220 S Ashland Ave,https://local.jewelosco.com/il/chicago/1220-s-ashland-ave.html,+1 312-733-0153,OPERATIONAL
2320247-20220316,"JEWEL FOOD STORES, INC.",JEWEL FOOD STORE # 3546,424 W DIVISION ST 1ST,IL,CHICAGO,60610,27.0,9.0,27-9,18.0,41.903883961,-87.639437202,"(41.903884, -87.6394372)","(41.90388396114024, -87.63943720155201)","('Deli, Butcher or Bakery', 'Retail Sales of Perishable Foods')","('640, 77',)","('bakery', 'food')",False,False,False,False,True,Jewel-Osco,424 W Division St,https://local.jewelosco.com/il/chicago/424-w-division-st.html,+1 312-642-2709,OPERATIONAL
2214104-20210816,SAM'S AUTO SALES INC,SAM'S AUTO SALES INC,3377 N MILWAUKEE AVE 1ST,IL,CHICAGO,60641,30.0,38.0,30-38,17.0,41.94270633,-87.729540716,"(41.9427063, -87.7295407)","(41.94270633041086, -87.72954071554656)","('Motor Vehicle Repair -  Engine and Transmission Work', 'Sale and Storage of Tires 100 - 1000')","('712, 77',)","('',)",False,False,False,False,True,Sam's Auto Sales,3377 N Milwaukee Ave,http://www.samsautoused.com,+1 773-282-1098,OPERATIONAL
2813258-20210928,NORBERTO LOUIS SANTIAGO,NORBERTO LOUIS SANTIAGO,3444 W BERTEAU AVE,IL,CHICAGO,60618,35.0,27.0,35-27,17.0,41.957579488,-87.714865622,"(41.9575795, -87.7148656)","(41.95757948765635, -87.71486562181941)","('Peddler- Retail Sales of General Merchandise, Whole Uncut Fruits/Vegetables, Flowers, Moving Along the Public Way',)","('769',)","('food',)",False,False,False,False,False,,,,,
2637253-20210816,FAST LANE AUTOMOTIVE TRAINING LLC,FAST LANE AUTOMOTIVE TRAINING LLC c,4235-4241 W DIVISION ST 1ST,IL,CHICAGO,60651,37.0,4.0,37-4,11.0,41.902458679,-87.732642032,"(41.9024587, -87.732642)","(41.90245867911893, -87.73264203247093)","('Motor Vehicle Repair -  Engine and Transmission Work',)","('712',)","('',)",False,False,False,False,True,Fast Lane Automotive Training,4235 W Division St,http://www.traininthefastlane.com/,+1 773-525-0123,OPERATIONAL
2333306-20220816,NHU LAN UPTOWN CORPORATION,NHU LAN SANDWICHES,4810 N SHERIDAN RD 1ST,IL,CHICAGO,60640,46.0,4.0,46-4,20.0,41.969437925,-87.65497661,"(41.9694379, -87.6549766)","(41.96943792534976, -87.6549766104816)","('Sale of Food Prepared Onsite Without Dining Area',)","('782',)","('meal_takeaway',)",False,False,False,False,True,Nhu Lan Bakery & Sandwiches,4810 N Sheridan Rd,,+1 773-944-9288,OPERATIONAL
2827494-20220616,"24/7 CHICAGO LOCKSMITH, LLC",CHICAGO LOCKSMITHS,1159 W DIVERSEY PKWY,IL,CHICAGO,60614,43.0,,43-,,41.932455166,-87.658209264,"(41.9324552, -87.6582093)","(41.93245516649673, -87.65820926418233)","('Retail Sales of General Merchandise and Non-Perishable Food',)","('767',)","('store',)",False,False,False,False,True,Chicago Locksmiths,1159 W Diversey Pkwy,https://www.chicagolocksmiths.net/,+1 312-319-9558,OPERATIONAL
2718743-20220416,URS CORPORATION,URS Corporation,303 E WACKER DR  1400,IL,CHICAGO,60601,42.0,,42-,,41.887705379,-87.620588144,"(41.8877054, -87.6205881)","(41.88770537937826, -87.62058814392799)","('Administrative Commercial Office',)","('602',)","('administrative_office',)",False,False,False,False,True,AECOM,303 E Wacker Dr,http://www.aecom.com/,+1 312-373-7700,OPERATIONAL
2840436-20220329,B. I. INCORPORATED,B. I. Incorporated,2245 S MICHIGAN AVE MAIN,IL,CHICAGO,60616,3.0,,3-,,41.851584026,-87.623623384,"(41.851584, -87.6236234)","(41.851584025964854, -87.62362338401519)","('Administrative Commercial Office', 'Immigration Services')","('602, 67',)","('administrative_office', 'immigration_services')",False,False,False,False,False,,,,,
2872908-20220929,"COTTONBALL SPORTS, LLC","COTTONBALL SPORTS, LLC",900 W JACKSON BLVD  7E,IL,CHICAGO,60607,25.0,3.0,25-3,12.0,41.878018745,-87.649640824,"(41.8780187, -87.6496408)","(41.87801874499422, -87.64964082436272)","('Retail Sales of General Merchandise', 'Administrative Commercial Office')","('904, 60',)","('store', 'administrative_office')",False,False,False,False,False,,,,,
